"순번","ID","도시계획코드","분류명","조서ID","고시ID","라벨명","고시일자","X좌표","Y좌표"
"16120","생활권경계_089","ZON125","지역생활권"," "," ","양천구_신월2"," ","",""
"16121","생활권경계_092","ZON125","지역생활권"," "," ","영등포구_대림"," ","",""
"16122","생활권경계_094","ZON125","지역생활권"," "," ","구로구_구로디지털"," ","",""
"16123","생활권경계_095","ZON125","지역생활권"," "," ","관악구_대학"," ","",""
"16124","생활권경계_098","ZON125","지역생활권"," "," ","동작구_흑석"," ","",""
"16125","생활권경계_099","ZON125","지역생활권"," "," ","금천구_가산"," ","",""
"16126","생활권경계_116","ZON125","지역생활권"," "," ","강동구_천호성내"," ","",""
"16127","생활권경계_118","ZON125","지역생활권"," "," ","강동구_고덕"," ","",""
"16128","생활권경계_119","ZON125","지역생활권"," "," ","송파구_거여마천"," ","",""
"16321","생활권경계_120","ZON125","지역생활권"," "," ","송파구_문정"," ","",""
"16322","생활권경계_121","ZON125","지역생활권"," "," ","송파구_잠실2"," ","",""
"16323","생활권경계_102","ZON125","지역생활권"," "," ","서초구_반포"," ","",""
"16324","생활권경계_104","ZON125","지역생활권"," "," ","강남구_대치도곡"," ","",""
"16325","생활권경계_105","ZON125","지역생활권"," "," ","강남구_삼성"," ","",""
"16115","생활권경계_084","ZON125","지역생활권"," "," ","강서구_마곡"," ","",""
"16116","생활권경계_085","ZON125","지역생활권"," "," ","강서구_화곡"," ","",""
"16117","생활권경계_086","ZON125","지역생활권"," "," ","양천구_목동"," ","",""
"16118","생활권경계_087","ZON125","지역생활권"," "," ","관악구_봉천"," ","",""
"16119","생활권경계_088","ZON125","지역생활권"," "," ","동작구_사당"," ","",""
"16326","생활권경계_106","ZON125","지역생활권"," "," ","강남구_개포일원"," ","",""
"16327","생활권경계_107","ZON125","지역생활권"," "," ","강남구_수서세곡"," ","",""
"16328","생활권경계_108","ZON125","지역생활권"," "," ","강남구_압구정청담"," ","",""
"16329","생활권경계_101","ZON125","지역생활권"," "," ","서초구_서초"," ","",""
"16330","생활권경계_109","ZON125","지역생활권"," "," ","강동구_길동둔촌"," ","",""
"16331","생활권경계_110","ZON125","지역생활권"," "," ","강동구_암사"," ","",""
"16332","생활권경계_111","ZON125","지역생활권"," "," ","송파구_석촌"," ","",""
"16333","생활권경계_112","ZON125","지역생활권"," "," ","송파구_잠실1"," ","",""
"16334","생활권경계_113","ZON125","지역생활권"," "," ","서초구_방배"," ","",""
"16335","생활권경계_114","ZON125","지역생활권"," "," ","송파구_가락"," ","",""
"16336","생활권경계_115","ZON125","지역생활권"," "," ","강남구_역삼논현"," ","",""
"16337","생활권경계_054","ZON125","지역생활권"," "," ","서대문구_홍제생활권"," ","",""
"16338","생활권경계_055","ZON125","지역생활권"," "," ","서대문구_가좌생활권"," ","",""
"16339","생활권경계_057","ZON125","지역생활권"," "," ","은평구_응암생활권"," ","",""
"16340","생활권경계_058","ZON125","지역생활권"," "," ","은평구_연신내생활"," ","",""
"16341","생활권경계_059","ZON125","지역생활권"," "," ","마포구_성산생활권"," ","",""
"16342","생활권경계_060","ZON125","지역생활권"," "," ","마포구_상암생활권"," ","",""
"16343","생활권경계_061","ZON125","지역생활권"," "," ","은평구_진관생활권"," ","",""
"16344","생활권경계_062","ZON125","지역생활권"," "," ","서대문구_신촌생활권"," ","",""
"16345","생활권경계_063","ZON125","지역생활권"," "," ","은평구_불광생활권"," ","",""
"16346","생활권경계_065","ZON125","지역생활권"," "," ","마포구_용강생활권"," ","",""
"16347","생활권경계_066","ZON125","지역생활권"," "," ","서대문구_충정생활권"," ","",""
"16348","생활권경계_070","ZON125","지역생활권"," "," ","강서구_발산"," ","",""
"16349","생활권경계_071","ZON125","지역생활권"," "," ","강서구_화곡1"," ","",""
"16350","생활권경계_072","ZON125","지역생활권"," "," ","강서구_염창"," ","",""
"16351","생활권경계_073","ZON125","지역생활권"," "," ","금천구_시흥"," ","",""
"16352","생활권경계_074","ZON125","지역생활권"," "," ","관악구_난곡"," ","",""
"16353","생활권경계_076","ZON125","지역생활권"," "," ","영등포구_당산"," ","",""
"16354","생활권경계_078","ZON125","지역생활권"," "," ","영등포구_여의도"," ","",""
"16355","생활권경계_079","ZON125","지역생활권"," "," ","동작구_신대방"," ","",""
"16356","생활권경계_080","ZON125","지역생활권"," "," ","관악구_신림"," ","",""
"16357","생활권경계_081","ZON125","지역생활권"," "," ","관악구_낙성대"," ","",""
"16358","생활권경계_117","ZON125","지역생활권"," "," ","강동구_강일상일"," ","",""
"16359","생활권경계_008","ZON125","지역생활권"," "," ","종로구_평창부암"," ","",""
"16360","생활권경계_011","ZON125","지역생활권"," "," ","종로구_창신숭인"," ","",""
"16361","생활권경계_013","ZON125","지역생활권"," "," ","중구_신당황학"," ","",""
"16362","생활권경계_017","ZON125","지역생활권"," "," ","강북구_삼각산"," ","",""
"16363","생활권경계_100","ZON125","지역생활권"," "," ","서초구_양재"," ","",""
"16364","생활권경계_103","ZON125","지역생활권"," "," ","송파구_송파"," ","",""
"16365","생활권경계_033","ZON125","지역생활권"," "," ","도봉구_창동"," ","",""
"16366","생활권경계_035","ZON125","지역생활권"," "," ","성동구_성수"," ","",""
"16367","생활권경계_036","ZON125","지역생활권"," "," ","성동구_마장용답"," ","",""
"16368","생활권경계_037","ZON125","지역생활권"," "," ","성동구_왕십리행당"," ","",""
"16369","생활권경계_038","ZON125","지역생활권"," "," ","성동구_금호옥수"," ","",""
"16370","생활권경계_001","ZON121","권역생활권"," "," ","도심권"," ","",""
"16371","생활권경계_019","ZON125","지역생활권"," "," ","노원구_마들"," ","",""
"16372","생활권경계_049","ZON125","지역생활권"," "," ","중랑구_중화묵동"," ","",""
"16373","생활권경계_050","ZON125","지역생활권"," "," ","중랑구_신내망우"," ","",""
"16374","생활권경계_052","ZON125","지역생활권"," "," ","성북구_길음"," ","",""
"16375","생활권경계_053","ZON125","지역생활권"," "," ","마포구_합정?서교"," ","",""
"16376","생활권경계_020","ZON125","지역생활권"," "," ","노원구_상계"," ","",""
"16377","생활권경계_021","ZON125","지역생활권"," "," ","노원구_중계"," ","",""
"16378","생활권경계_022","ZON125","지역생활권"," "," ","노원구_공릉"," ","",""
"16379","생활권경계_024","ZON125","지역생활권"," "," ","노원구_하계"," ","",""
"16380","생활권경계_025","ZON125","지역생활권"," "," ","노원구_월계"," ","",""
