"대여일자","대여건수"
"2024-07-01","182412"
"2024-07-02","39425"
"2024-07-03","164923"
"2024-07-04","158343"
"2024-07-05","170995"
"2024-07-06","95369"
"2024-07-07","82462"
"2024-07-08","49089"
"2024-07-09","131047"
"2024-07-10","157084"
"2024-07-11","176887"
"2024-07-12","178478"
"2024-07-13","132048"
"2024-07-14","116657"
"2024-07-15","166497"
"2024-07-16","94003"
"2024-07-17","52002"
"2024-07-18","42868"
"2024-07-19","158625"
"2024-07-20","84494"
"2024-07-21","97479"
"2024-07-22","85679"
"2024-07-23","113320"
"2024-07-24","126761"
"2024-07-25","131194"
"2024-07-26","117455"
"2024-07-27","76401"
"2024-07-28","102036"
"2024-07-29","138818"
"2024-07-30","150513"
"2024-07-31","149869"
"2024-08-01","145489"
"2024-08-02","140156"
"2024-08-03","105224"
"2024-08-04","89614"
"2024-08-05","123157"
"2024-08-06","136544"
"2024-08-07","141042"
"2024-08-08","137397"
"2024-08-09","139485"
"2024-08-10","114532"
"2024-08-11","99631"
"2024-08-12","143230"
"2024-08-13","134079"
"2024-08-14","132732"
"2024-08-15","102411"
"2024-08-16","140851"
"2024-08-17","105965"
"2024-08-18","93509"
"2024-08-19","143004"
"2024-08-20","146665"
"2024-08-21","73100"
"2024-08-22","125878"
"2024-08-23","151308"
"2024-08-24","105514"
"2024-08-25","101723"
"2024-08-26","142238"
"2024-08-27","149070"
"2024-08-28","166242"
"2024-08-29","166666"
"2024-08-30","167333"
"2024-08-31","134545"
"2024-09-01","125170"
"2024-09-02","153796"
"2024-09-03","178909"
"2024-09-04","176857"
"2024-09-05","142476"
"2024-09-06","150540"
"2024-09-07","148978"
"2024-09-08","131434"
"2024-09-09","170529"
"2024-09-10","169983"
"2024-09-11","154083"
"2024-09-12","62023"
"2024-09-13","75826"
"2024-09-14","115908"
"2024-09-15","102890"
"2024-09-16","89292"
"2024-09-17","79402"
"2024-09-18","101367"
"2024-09-19","155491"
"2024-09-20","49130"
"2024-09-21","112110"
"2024-09-22","159567"
"2024-09-23","188300"
"2024-09-24","191168"
"2024-09-25","187734"
"2024-09-26","176103"
"2024-09-27","191573"
"2024-09-28","169000"
"2024-09-29","154569"
"2024-09-30","186558"
"2024-10-01","131750"
"2024-10-02","176842"
"2024-10-03","154012"
"2024-10-04","181964"
"2024-10-05","165479"
"2024-10-06","108639"
"2024-10-07","173890"
"2024-10-08","182682"
"2024-10-09","160343"
"2024-10-10","180124"
"2024-10-11","189284"
"2024-10-12","161687"
"2024-10-13","142166"
"2024-10-14","171314"
"2024-10-15","155623"
"2024-10-16","181100"
"2024-10-17","181165"
"2024-10-18","78685"
"2024-10-19","130845"
"2024-10-20","122491"
"2024-10-21","154414"
"2024-10-22","26820"
"2024-10-23","143682"
"2024-10-24","159378"
"2024-10-25","166458"
"2024-10-26","145497"
"2024-10-27","110957"
"2024-10-28","159283"
"2024-10-29","154503"
"2024-10-30","167863"
"2024-10-31","167817"
"2024-11-01","166375"
"2024-11-02","146379"
"2024-11-03","132614"
"2024-11-04","153235"
"2024-11-05","145636"
"2024-11-06","138914"
"2024-11-07","140432"
"2024-11-08","146639"
"2024-11-09","125849"
"2024-11-10","115697"
"2024-11-11","155328"
"2024-11-12","158301"
"2024-11-13","162971"
"2024-11-14","137483"
"2024-11-15","158838"
"2024-11-16","80378"
"2024-11-17","78614"
"2024-11-18","109684"
"2024-11-19","124669"
"2024-11-20","124098"
"2024-11-21","127471"
"2024-11-22","127424"
"2024-11-23","95085"
"2024-11-24","85907"
"2024-11-25","130589"
"2024-11-26","35385"
"2024-11-27","20902"
"2024-11-28","42961"
"2024-11-29","73916"
"2024-11-30","57423"
"2024-12-01","58689"
"2024-12-02","100413"
"2024-12-03","94723"
"2024-12-04","97375"
"2024-12-05","83592"
"2024-12-06","92791"
"2024-12-07","66505"
"2024-12-08","50139"
"2024-12-09","89588"
"2024-12-10","95376"
"2024-12-11","98567"
"2024-12-12","91976"
"2024-12-13","89574"
"2024-12-14","64507"
"2024-12-15","51245"
"2024-12-16","78064"
"2024-12-17","83421"
"2024-12-18","76140"
"2024-12-19","79368"
"2024-12-20","80214"
"2024-12-21","39455"
"2024-12-22","37978"
"2024-12-23","76146"
"2024-12-24","77783"
"2024-12-25","45247"
"2024-12-26","69113"
"2024-12-27","68333"
"2024-12-28","45732"
"2024-12-29","43614"
"2024-12-30","79482"
"2024-12-31","72945"
