연번,단속장소,위반내용,견인료,견인일자
1,서울특별시 양천구 목동 915,보도 중앙,"40,000",2021-10-27 12:10
2,서울특별시 양천구 목동 915,보도 중앙,"40,000",2021-10-27 12:08
3,서울특별시 양천구 목동 404-7,"횡단보도, 산책로 등","40,000",2021-10-28 11:26
4,서울특별시 양천구 목동 559,보도 중앙,"40,000",2021-10-28 10:49
5,서울특별시 양천구 목동 559,보도 중앙,"40,000",2021-10-28 10:34
6,서울특별시 양천구 목동 915,"횡단보도, 산책로 등","40,000",2021-10-28 11:04
7,서울특별시 양천구 목동 911-1,"횡단보도, 산책로 등","40,000",2021-10-29 10:37
8,서울특별시 양천구 목동 911-3,보도 중앙,"40,000",2021-10-29 11:18
9,서울특별시 양천구 신정동 1079,"건물, 상가 보행자 진출입","40,000",2021-10-29 11:47
10,서울특별시 양천구 신정동 1074,보도 중앙,"40,000",2021-10-29 12:41
11,서울특별시 양천구 신정동 313-6,"횡단보도, 산책로 등","40,000",2021-10-29 16:04
12,서울특별시 양천구 목동 404-256,"횡단보도, 산책로 등","40,000",2021-10-29 17:52
13,서울특별시 양천구 목동 911-2,"횡단보도, 산책로 등","40,000",2021-10-29 17:38
14,서울특별시 양천구 목동 914-2,"횡단보도, 산책로 등","40,000",2021-10-29 17:47
15,서울특별시 양천구 신월동 1063-2,"횡단보도, 산책로 등","40,000",2021-11-01 09:37
16,서울특별시 양천구 신월동 1029,"횡단보도, 산책로 등","40,000",2021-11-01 09:35
17,서울특별시 양천구 목동 406-189,"횡단보도, 산책로 등","40,000",2021-11-01 10:43
18,서울특별시 양천구 목동 406-35,"횡단보도, 산책로 등","40,000",2021-11-01 10:48
19,서울특별시 양천구 목동 916-2,"횡단보도, 산책로 등","40,000",2021-11-01 11:43
20,서울특별시 양천구 목동 916-1,"횡단보도, 산책로 등","40,000",2021-11-01 11:02
21,서울특별시 양천구 목동 932,"횡단보도, 산책로 등","40,000",2021-11-01 11:08
22,서울특별시 양천구 목동 932-3,"횡단보도, 산책로 등","40,000",2021-11-01 11:07
23,서울특별시 양천구 목동 932-3,"횡단보도, 산책로 등","40,000",2021-11-01 11:05
24,서울특별시 양천구 목동 406-43,"횡단보도, 산책로 등","40,000",2021-11-01 14:25
25,서울특별시 양천구 목동 932,"횡단보도, 산책로 등","40,000",2021-11-01 11:47
26,서울특별시 양천구 신월동 126-36,"횡단보도, 산책로 등","40,000",2021-11-02 09:21
27,서울특별시 양천구 신월동 126-36,"횡단보도, 산책로 등","40,000",2021-11-02 09:22
28,서울특별시 양천구 신월동 125,"횡단보도, 산책로 등","40,000",2021-11-02 09:24
29,서울특별시 양천구 목동 915,"횡단보도, 산책로 등","40,000",2021-11-02 11:49
30,서울특별시 양천구 목동 915,"횡단보도, 산책로 등","40,000",2021-11-02 11:29
31,서울특별시 양천구 신정동 987-1,"횡단보도, 산책로 등","40,000",2021-11-02 12:34
32,서울특별시 양천구 신정동 991-1,"횡단보도, 산책로 등","40,000",2021-11-02 12:34
33,서울특별시 양천구 신정동 991-1,"횡단보도, 산책로 등","40,000",2021-11-02 12:32
34,서울특별시 양천구 목동 915,보도 중앙,"40,000",2021-11-02 14:53
35,서울특별시 양천구 목동 404-256,"횡단보도, 산책로 등","40,000",2021-11-02 16:22
36,서울특별시 양천구 목동 514-3,지하철역 진출입로 및 주변,"40,000",2021-11-03 09:32
37,서울특별시 양천구 목동 514-3,지하철역 진출입로 및 주변,"40,000",2021-11-03 09:31
38,서울특별시 양천구 목동 900-12,"버스정류장, 택시 승강장","40,000",2021-11-03 09:59
39,서울특별시 양천구 목동 915,"횡단보도, 산책로 등","40,000",2021-11-03 10:33
40,서울특별시 양천구 목동 406-35,"횡단보도, 산책로 등","40,000",2021-11-03 12:16
41,서울특별시 양천구 목동 915,"횡단보도, 산책로 등","40,000",2021-11-03 12:31
42,서울특별시 양천구 목동 916,보도 중앙,"40,000",2021-11-03 12:40
43,서울특별시 양천구 목동 916,"횡단보도, 산책로 등","40,000",2021-11-03 15:41
44,서울특별시 양천구 목동 916,"횡단보도, 산책로 등","40,000",2021-11-03 15:45
45,서울특별시 양천구 목동 916,"횡단보도, 산책로 등","40,000",2021-11-03 15:43
46,서울특별시 양천구 목동 916,"횡단보도, 산책로 등","40,000",2021-11-03 15:44
47,서울특별시 양천구 목동 916,"횡단보도, 산책로 등","40,000",2021-11-03 15:44
48,서울특별시 양천구 목동 603-8,"횡단보도, 산책로 등","40,000",2021-11-04 10:01
49,서울특별시 양천구 목동 508-1,"횡단보도, 산책로 등","40,000",2021-11-04 10:30
50,서울특별시 양천구 목동 508-1,"횡단보도, 산책로 등","40,000",2021-11-04 10:31
51,서울특별시 양천구 목동 546,"건물, 상가 보행자 진출입","40,000",2021-11-04 10:23
52,서울특별시 양천구 목동 514,지하철역 진출입로 및 주변,"40,000",2021-11-04 10:44
53,서울특별시 양천구 목동 913-2,"횡단보도, 산책로 등","40,000",2021-11-04 11:54
54,서울특별시 양천구 목동 905-27,"횡단보도, 산책로 등","40,000",2021-11-04 12:01
55,서울특별시 양천구 목동 919-8,"횡단보도, 산책로 등","40,000",2021-11-04 12:16
56,서울특별시 양천구 신정동 323-8,"횡단보도, 산책로 등","40,000",2021-11-04 12:47
57,서울특별시 양천구 신정동 321-4,"횡단보도, 산책로 등","40,000",2021-11-04 13:10
58,서울특별시 양천구 신월동 824,"횡단보도, 산책로 등","40,000",2021-11-04 15:04
59,서울특별시 양천구 신월동 824,"횡단보도, 산책로 등","40,000",2021-11-04 15:06
60,서울특별시 양천구 신월동 824,"횡단보도, 산책로 등","40,000",2021-11-04 15:07
61,서울특별시 양천구 목동 406-189,"버스정류장, 택시 승강장","40,000",2021-11-05 10:30
62,서울특별시 양천구 목동 406-189,"횡단보도, 산책로 등","40,000",2021-11-05 10:40
63,서울특별시 양천구 목동 406-189,"횡단보도, 산책로 등","40,000",2021-11-05 10:49
64,서울특별시 양천구 목동 406-189,"횡단보도, 산책로 등","40,000",2021-11-05 10:53
65,서울특별시 양천구 목동 406-189,"횡단보도, 산책로 등","40,000",2021-11-05 10:55
66,서울특별시 양천구 목동 602-1,"횡단보도, 산책로 등","40,000",2021-11-05 09:07
67,서울특별시 양천구 목동 917-3,"횡단보도, 산책로 등","40,000",2021-11-08 10:43
68,서울특별시 양천구 목동 915,"횡단보도, 산책로 등","40,000",2021-11-08 11:33
69,서울특별시 양천구 목동 404-7,"횡단보도, 산책로 등","40,000",2021-11-08 12:07
70,서울특별시 양천구 목동 922,"횡단보도, 산책로 등","40,000",2021-11-08 11:19
71,서울특별시 양천구 목동 606-1,"횡단보도, 산책로 등","40,000",2021-11-09 09:45
72,서울특별시 양천구 목동 605-22,"횡단보도, 산책로 등","40,000",2021-11-09 09:46
73,서울특별시 양천구 목동 606-1,"횡단보도, 산책로 등","40,000",2021-11-09 09:46
74,서울특별시 양천구 신정동 312,"버스정류장, 택시 승강장","40,000",2021-11-09 15:44
75,서울특별시 양천구 신정동 1296,"버스정류장, 택시 승강장","40,000",2021-11-09 16:05
76,서울특별시 양천구 신정동 85-1,"버스정류장, 택시 승강장","40,000",2021-11-09 16:06
77,서울특별시 양천구 신정동 87-35,"버스정류장, 택시 승강장","40,000",2021-11-09 16:06
78,서울특별시 양천구 신정동 87-35,"버스정류장, 택시 승강장","40,000",2021-11-09 16:07
79,서울특별시 양천구 목동 903,"횡단보도, 산책로 등","40,000",2021-11-09 16:35
80,서울특별시 양천구 목동 903,"횡단보도, 산책로 등","40,000",2021-11-09 16:35
